data,attributes,type,optional
nodes,index,any,False
nodes,zone,zones.index,False
nodes,slack,bool,False
nodes,lat,float64,False
nodes,lon,float64,False
nodes,name,str,False
nodes,voltage,float64,False
zones,index,any,False
plants,index,any,False
plants,node,nodes.index,False
plants,mc_el,float64,False
plants,g_max,float64,False
plants,d_max,float64,False
plants,plant_type,any,False
plants,fuel,any,False
plants,storage_capacity,any,False
lines,index,any,False
lines,node_i,nodes.index,False
lines,node_j,nodes.index,False
lines,x,float64,False
lines,r,float64,False
lines,x_pu,float64,False
lines,r_pu,float64,False
lines,capacity,float64,False
lines,contingency,bool,False
lines,technology,float64,True
lines,voltage,any,True
demand_el_rt,index,any,False
demand_el_rt,timestep,any,False
demand_el_rt,node,nodes.index,False
demand_el_rt,demand_el,float,False
demand_el_da,index,any,False
demand_el_da,timestep,any,False
demand_el_da,node,nodes.index,False
demand_el_da,demand_el,float,False
availability_rt,index,any,False
availability_rt,timestep,any,False
availability_rt,plant,plants.index,False
availability_rt,availability,float,False
availability_da,index,any,False
availability_da,timestep,any,False
availability_da,plant,plants.index,False
availability_da,availability,float,False
